DOY,Tb,YEAR,POP,TIME
217,15.11253951,2020,2600m,17
217,15.1090583,2020,2600m,18
217,15.1063217,2020,2600m,19
217,15.10405496,2020,2600m,20
217,15.10201485,2020,2600m,21
217,15.09999532,2020,2600m,22
217,15.09782771,2020,2600m,23
218,15.05869484,2020,2600m,12
218,15.06091095,2020,2600m,13
218,15.06455816,2020,2600m,14
218,15.0695216,2020,2600m,15
218,15.07562587,2020,2600m,16
218,15.0826554,2020,2600m,17
218,15.09037559,2020,2600m,18
218,15.09855179,2020,2600m,19
218,15.10696543,2020,2600m,20
218,15.11541208,2020,2600m,21
218,15.12371391,2020,2600m,22
218,15.13171639,2020,2600m,23
219,15.23340308,2020,2600m,12
219,15.24810789,2020,2600m,13
219,15.26466633,2020,2600m,14
219,15.28279333,2020,2600m,15
219,15.30213023,2020,2600m,16
219,15.32228935,2020,2600m,17
219,15.3429039,2020,2600m,18
219,15.36359465,2020,2600m,19
219,15.38404409,2020,2600m,20
219,15.40398202,2020,2600m,21
219,15.42316429,2020,2600m,22
219,15.44144184,2020,2600m,23
220,15.57765868,2020,2600m,12
220,15.58350914,2020,2600m,13
220,15.58932858,2020,2600m,14
220,15.59508067,2020,2600m,15
220,15.60067716,2020,2600m,16
220,15.60598637,2020,2600m,17
220,15.6108577,2020,2600m,18
220,15.61513119,2020,2600m,19
220,15.61864987,2020,2600m,20
220,15.62126863,2020,2600m,21
220,15.62285406,2020,2600m,22
220,15.62329529,2020,2600m,23
221,15.56738789,2020,2600m,12
221,15.57106763,2020,2600m,13
221,15.57734633,2020,2600m,14
221,15.58596426,2020,2600m,15
221,15.59652001,2020,2600m,16
221,15.60853511,2020,2600m,17
221,15.62150287,2020,2600m,18
221,15.6349315,2020,2600m,19
221,15.64836467,2020,2600m,20
221,15.66139467,2020,2600m,21
221,15.67366577,2020,2600m,22
221,15.68487853,2020,2600m,23
222,15.74725758,2020,2600m,12
222,15.75950022,2020,2600m,13
222,15.77423111,2020,2600m,14
222,15.79107041,2020,2600m,15
222,15.80951464,2020,2600m,16
222,15.82900022,2020,2600m,17
222,15.84895655,2020,2600m,18
222,15.86884576,2020,2600m,19
222,15.88818885,2020,2600m,20
222,15.90658228,2020,2600m,21
222,15.92369858,2020,2600m,22
222,15.93928588,2020,2600m,23
223,16.01237867,2020,2600m,12
223,16.01527864,2020,2600m,13
223,16.0183681,2020,2600m,14
223,16.02148948,2020,2600m,15
223,16.02444207,2020,2600m,16
223,16.02700082,2020,2600m,17
223,16.02894283,2020,2600m,18
223,16.0300513,2020,2600m,19
223,16.03012902,2020,2600m,20
223,16.0290016,2020,2600m,21
223,16.02651917,2020,2600m,22
223,16.02255639,2020,2600m,23
224,15.88797786,2020,2600m,12
224,15.88522632,2020,2600m,13
224,15.88502949,2020,2600m,14
224,15.88712862,2020,2600m,15
224,15.8911643,2020,2600m,16
224,15.89672839,2020,2600m,17
224,15.90340244,2020,2600m,18
224,15.91078365,2020,2600m,19
224,15.91850031,2020,2600m,20
224,15.92621576,2020,2600m,21
224,15.93362528,2020,2600m,22
224,15.94044846,2020,2600m,23
225,15.95097973,2020,2600m,12
225,15.95348577,2020,2600m,13
225,15.95715138,2020,2600m,14
225,15.96174165,2020,2600m,15
225,15.96693308,2020,2600m,16
225,15.9723572,2020,2600m,17
225,15.97763528,2020,2600m,18
225,15.98240414,2020,2600m,19
225,15.98633312,2020,2600m,20
225,15.98913441,2020,2600m,21
225,15.99056944,2020,2600m,22
225,15.99044602,2020,2600m,23
226,15.8679478,2020,2600m,12
226,15.85771698,2020,2600m,13
226,15.84844217,2020,2600m,14
226,15.84003767,2020,2600m,15
226,15.83234902,2020,2600m,16
226,15.82518427,2020,2600m,17
226,15.81834215,2020,2600m,18
226,15.81162506,2020,2600m,19
226,15.80485485,2020,2600m,20
226,15.79787707,2020,2600m,21
226,15.79055991,2020,2600m,22
226,15.78280225,2020,2600m,23
227,15.64824013,2020,2600m,12
227,15.64315365,2020,2600m,13
227,15.64020691,2020,2600m,14
227,15.63917878,2020,2600m,15
227,15.63972614,2020,2600m,16
227,15.64144446,2020,2600m,17
227,15.64391268,2020,2600m,18
227,15.6467249,2020,2600m,19
227,15.64951191,2020,2600m,20
227,15.65194816,2020,2600m,21
227,15.65376083,2020,2600m,22
227,15.65472961,2020,2600m,23
228,15.592837,2020,2600m,12
228,15.59024553,2020,2600m,13
228,15.58934218,2020,2600m,14
228,15.59004906,2020,2600m,15
228,15.59217834,2020,2600m,16
228,15.59547329,2020,2600m,17
228,15.59963814,2020,2600m,18
228,15.60436716,2020,2600m,19
228,15.60935846,2020,2600m,20
228,15.61432643,2020,2600m,21
228,15.61901688,2020,2600m,22
228,15.62320731,2020,2600m,23
229,15.59851557,2020,2600m,12
229,15.59199654,2020,2600m,13
229,15.58524544,2020,2600m,14
229,15.57826434,2020,2600m,15
229,15.57101621,2020,2600m,16
229,15.56344475,2020,2600m,17
229,15.55547623,2020,2600m,18
229,15.5470301,2020,2600m,19
229,15.53802453,2020,2600m,20
229,15.52838063,2020,2600m,21
229,15.51802559,2020,2600m,22
229,15.50689466,2020,2600m,23
230,15.30405257,2020,2600m,12
230,15.29147858,2020,2600m,13
230,15.28057056,2020,2600m,14
230,15.27117049,2020,2600m,15
230,15.26301023,2020,2600m,16
230,15.25576286,2020,2600m,17
230,15.24907688,2020,2600m,18
230,15.24260758,2020,2600m,19
230,15.23603127,2020,2600m,20
230,15.22905608,2020,2600m,21
230,15.22142096,2020,2600m,22
230,15.21289966,2020,2600m,23
231,15.04106976,2020,2600m,12
231,15.03764844,2020,2600m,13
231,15.03776425,2020,2600m,14
231,15.0410893,2020,2600m,15
231,15.04710792,2020,2600m,16
231,15.05520913,2020,2600m,17
231,15.06475887,2020,2600m,18
231,15.07515031,2020,2600m,19
231,15.08583282,2020,2600m,20
231,15.09632237,2020,2600m,21
231,15.10620303,2020,2600m,22
231,15.11512224,2020,2600m,23
232,15.14068817,2020,2600m,12
232,15.14886334,2020,2600m,13
232,15.15944451,2020,2600m,14
232,15.17207728,2020,2600m,15
232,15.18628196,2020,2600m,16
232,15.20152145,2020,2600m,17
232,15.21725535,2020,2600m,18
232,15.23297567,2020,2600m,19
232,15.24822484,2020,2600m,20
232,15.2626047,2020,2600m,21
232,15.27578172,2020,2600m,22
232,15.28748465,2020,2600m,23
233,15.30848812,2020,2600m,12
233,15.3090046,2020,2600m,13
233,15.31031776,2020,2600m,14
233,15.31226995,2020,2600m,15
233,15.31465085,2020,2600m,16
233,15.31722811,2020,2600m,17
233,15.3197704,2020,2600m,18
233,15.32206358,2020,2600m,19
233,15.3239191,2020,2600m,20
233,15.32517551,2020,2600m,21
233,15.32569685,2020,2600m,22
233,15.32537191,2020,2600m,23
234,15.27053008,2020,2600m,12
234,15.27288688,2020,2600m,13
234,15.27759144,2020,2600m,14
234,15.28437033,2020,2600m,15
234,15.29282896,2020,2600m,16
234,15.30251679,2020,2600m,17
234,15.31297232,2020,2600m,18
234,15.32375435,2020,2600m,19
234,15.33446259,2020,2600m,20
234,15.34474971,2020,2600m,21
234,15.35432707,2020,2600m,22
234,15.3629636,2020,2600m,23
235,15.37560247,2020,2600m,12
235,15.37210453,2020,2600m,13
235,15.36835679,2020,2600m,14
235,15.36430823,2020,2600m,15
235,15.35990032,2020,2600m,16
235,15.3550681,2020,2600m,17
235,15.34975039,2020,2600m,18
235,15.34388975,2020,2600m,19
235,15.33743239,2020,2600m,20
235,15.33032787,2020,2600m,21
235,15.32252933,2020,2600m,22
235,15.3139932,2020,2600m,23
236,15.14959234,2020,2600m,12
236,15.13872456,2020,2600m,13
236,15.12891791,2020,2600m,14
236,15.12005552,2020,2600m,15
236,15.11193704,2020,2600m,16
236,15.10430745,2020,2600m,17
236,15.09688219,2020,2600m,18
236,15.08937431,2020,2600m,19
236,15.08150961,2020,2600m,20
236,15.07303941,2020,2600m,21
236,15.06374377,2020,2600m,22
236,15.05344408,2020,2600m,23
237,14.86630964,2020,2600m,12
237,14.8609048,2020,2600m,13
237,14.85799112,2020,2600m,14
237,14.85726393,2020,2600m,15
237,14.85831692,2020,2600m,16
237,14.86068585,2020,2600m,17
237,14.86388945,2020,2600m,18
237,14.8674625,2020,2600m,19
237,14.87097697,2020,2600m,20
237,14.87405321,2020,2600m,21
237,14.87635903,2020,2600m,22
237,14.87761093,2020,2600m,23
238,14.81842223,2020,2600m,12
238,14.82272976,2020,2600m,13
238,14.82963974,2020,2600m,14
238,14.83875843,2020,2600m,15
238,14.84958316,2020,2600m,16
238,14.86156524,2020,2600m,17
238,14.8741595,2020,2600m,18
238,14.88685659,2020,2600m,19
238,14.89919792,2020,2600m,20
238,14.91078089,2020,2600m,21
238,14.92126045,2020,2600m,22
238,14.93034742,2020,2600m,23
239,14.95775752,2020,2600m,12
239,14.9709344,2020,2600m,13
239,14.98715448,2020,2600m,14
239,15.0058504,2020,2600m,15
239,15.02635658,2020,2600m,16
239,15.04797994,2020,2600m,17
239,15.07005364,2020,2600m,18
239,15.09197446,2020,2600m,19
239,15.11322054,2020,2600m,20
239,15.13335336,2020,2600m,21
239,15.1520127,2020,2600m,22
239,15.16891052,2020,2600m,23
240,15.25785574,2020,2600m,12
240,15.26936219,2020,2600m,13
240,15.28280671,2020,2600m,14
240,15.29774735,2020,2600m,15
240,15.31366719,2020,2600m,16
240,15.33004285,2020,2600m,17
240,15.34638721,2020,2600m,18
240,15.36227254,2020,2600m,19
240,15.37733715,2020,2600m,20
240,15.39128296,2020,2600m,21
240,15.40386958,2020,2600m,22
240,15.41490613,2020,2600m,23
241,15.42606597,2020,2600m,12
241,15.42413889,2020,2600m,13
241,15.42245664,2020,2600m,14
241,15.42086994,2020,2600m,15
241,15.41920441,2020,2600m,16
241,15.4172846,2020,2600m,17
241,15.41494787,2020,2600m,18
241,15.41205137,2020,2600m,19
241,15.40847413,2020,2600m,20
241,15.40411614,2020,2600m,21
241,15.39890229,2020,2600m,22
241,15.39278124,2020,2600m,23
242,15.23023184,2020,2600m,12
242,15.21353873,2020,2600m,13
242,15.19678331,2020,2600m,14
242,15.17997868,2020,2600m,15
242,15.16309867,2020,2600m,16
242,15.14609266,2020,2600m,17
242,15.12889761,2020,2600m,18
242,15.11145024,2020,2600m,19
242,15.09369129,2020,2600m,20
242,15.0755685,2020,2600m,21
242,15.05703836,2020,2600m,22
242,15.0380592,2020,2600m,23
243,14.76613662,2020,2600m,12
243,14.74996836,2020,2600m,13
243,14.73542288,2020,2600m,14
243,14.72230232,2020,2600m,15
243,14.71032538,2020,2600m,16
243,14.69916922,2020,2600m,17
243,14.68850082,2020,2600m,18
243,14.67799963,2020,2600m,19
243,14.66737139,2020,2600m,20
243,14.6563533,2020,2600m,21
243,14.64471822,2020,2600m,22
243,14.63227567,2020,2600m,23
244,14.41679478,2020,2600m,12
244,14.40661042,2020,2600m,13
244,14.39849537,2020,2600m,14
244,14.39222046,2020,2600m,15
244,14.38747352,2020,2600m,16
244,14.38389977,2020,2600m,17
244,14.38113202,2020,2600m,18
244,14.37881156,2020,2600m,19
244,14.3766028,2020,2600m,20
244,14.37420428,2020,2600m,21
244,14.37135648,2020,2600m,22
244,14.36784024,2020,2600m,23
245,14.27989081,2020,2600m,12
245,14.28088482,2020,2600m,13
245,14.28373819,2020,2600m,14
245,14.28805459,2020,2600m,15
245,14.29338162,2020,2600m,16
245,14.29925964,2020,2600m,17
245,14.30525377,2020,2600m,18
245,14.31097162,2020,2600m,19
245,14.31606967,2020,2600m,20
245,14.32025457,2020,2600m,21
245,14.3232819,2020,2600m,22
245,14.32495182,2020,2600m,23
246,14.25777407,2020,2600m,12
246,14.2593385,2020,2600m,13
246,14.26313435,2020,2600m,14
246,14.26879151,2020,2600m,15
246,14.27585336,2020,2600m,16
246,14.2838336,2020,2600m,17
246,14.29225533,2020,2600m,18
246,14.30067575,2020,2600m,19
246,14.30869908,2020,2600m,20
246,14.31598292,2020,2600m,21
246,14.3222383,2020,2600m,22
246,14.32722946,2020,2600m,23
247,14.30650892,2020,2600m,12
247,14.31101926,2020,2600m,13
247,14.3175668,2020,2600m,14
247,14.32576919,2020,2600m,15
247,14.33516144,2020,2600m,16
247,14.34525276,2020,2600m,17
247,14.35556481,2020,2600m,18
247,14.36565735,2020,2600m,19
247,14.3751419,2020,2600m,20
247,14.38368679,2020,2600m,21
247,14.39101611,2020,2600m,22
247,14.39690348,2020,2600m,23
248,14.38432315,2020,2600m,12
248,14.39151396,2020,2600m,13
248,14.40089586,2020,2600m,14
248,14.41202368,2020,2600m,15
